Trait1,Trait2,Category,Corr.100x100.Low,BF.100x100.Low,Corr.100x100.Mid,BF.100x100.Mid,Corr.100x100.High,BF.100x100.High,Corr.Astral,BF.Astral,BF.Astral.Untransformed,Corr.Astral.Untransformed,BF.SVD,Corr.SVD,BF.RAxML,Corr.RAxML,Contemporary.Corr,Contemporary.P
lwr,tvar,trait-envi,-0.321510855,6.97402,-0.082193592,0.680206,0.180322291,1.78479,-0.1015,-0.0609,0.5853,-0.0533,0.5617,-0.0823,5.2801,0.2922,-0.023405583,0.861554945
fwc,sd,trait-trait,-0.2469588,2.680772,-0.12154359,0.988002,0.049904535,0.43892,-0.0798,0.6971,12.3976,0.4471,13.434,0.4621,10.6982,0.4007,0.052646037,0.694700129
fwc,nmass,trait-trait,0.23974736,4.24003,0.418938032,9.883882,0.569360302,21.305962,0.3304,5.3838,0.7311,0.0895,-0.0708,0.0833,5.368,0.3031,0.251893606,0.056457572
fwc,d13c,trait-trait,-0.297453399,4.614406,0.071208639,0.35945,0.453901496,13.51812,0.1694,1.3154,12.7996,-0.4548,17.9491,-0.5264,15.0356,-0.5223,-0.262927045,0.046147806
fwc,cnratio,trait-trait,-0.605633808,23.582938,-0.462217062,12.936486,-0.339387131,7.360254,-0.3104,5.4998,0.2768,-0.081,0.4615,-0.0644,0.4023,-0.022,-0.302684604,0.020918016
fwc,elev,trait-envi,-0.406250976,10.809752,-0.056921556,0.987314,0.301210473,4.57584,-0.0513,0.0941,0.6182,0.1116,1.3767,0.1749,1.1203,0.1554,-0.037363402,0.780663801
fwc,map,trait-envi,-0.404390376,9.140122,0.137563709,0.735016,0.55180879,18.736676,0.2608,4.5227,0.5159,0.0796,0.8896,0.034,0.8257,0.0436,0.360884952,0.005385098
fwc,mat,trait-envi,-0.431424772,10.576912,0.082007247,-0.139046,0.48956899,13.286658,0.0406,-0.2395,3.2542,-0.1637,3.7065,-0.2313,1.4195,-0.1545,0.23814414,0.071834223
fwc,pet,trait-envi,-0.504087931,15.861702,-0.139126369,0.400458,0.40932027,9.755712,0.0797,0.1586,-0.0913,-0.0449,0.7071,-0.0273,0.543,-0.0306,-0.409387392,0.001417625
fwc,rfl2mm,trait-envi,-0.507625954,16.041438,-0.048423885,0.540322,0.44981621,12.814992,0.0557,-0.0612,0.1342,0.0611,0.821,-0.0096,0.4862,0.1294,0.217360188,0.101215
fwc,rflcv,trait-envi,-0.467869538,14.621598,0.018493915,-0.835852,0.421491338,9.920792,0.0968,1.3929,-0.1465,-0.0205,0.2158,-0.1165,-0.3938,-0.0893,-0.291064959,0.026645973
fwc,summer,trait-envi,-0.170476394,1.777472,0.149964552,2.136582,0.472020697,13.46539,0.37,5.0266,-0.1587,0.068,0.9511,0.189,2.6643,0.2245,0.275880083,0.036066999
fwc,tmax,trait-envi,-0.352153629,8.713482,0.04749083,-0.764492,0.578094144,22.36476,-0.0189,-0.0476,1.9071,0.1436,-0.1912,0.1232,0.4734,0.0981,0.097755829,0.465371305
fwc,tmin,trait-envi,-0.218882994,3.227858,-0.032934867,-0.326166,0.256889625,3.68949,0.0454,0.4474,-0.2955,-0.0435,-0.0581,-0.0699,0.5126,-0.1036,0.099819524,0.455957975
fwc,tvar,trait-envi,-0.451158082,11.60817,0.049008828,0.343412,0.505513239,15.696382,-0.0473,-0.4722,4.4435,0.2583,4.793,0.2876,5.3561,0.3224,0.011797745,0.929959283
sd,nmass,trait-trait,-0.373815309,7.01302,-0.207557182,1.980844,-0.063769997,0.17099,-0.1151,2.4355,0.8989,0.1677,-0.1095,0.1023,3.3782,0.2173,0.183801705,0.167242382
sd,d13c,trait-trait,-0.174753805,1.722958,0.066856603,-0.623974,0.319142907,5.333678,0.0887,0.287,157.3199,-0.971,237.5189,-0.9945,215.6764,-0.9898,0.308197311,0.018588876
sd,cnratio,trait-trait,0.036238106,0.841088,0.202780779,2.34774,0.371967629,7.601342,0.2235,3.4758,0.7671,0.0878,0.0065,0.0038,0.3378,0.053,-0.196083389,0.140163741
sd,elev,trait-envi,-0.141992815,1.0921,0.182649308,2.273954,0.438129123,12.654212,0.3579,6.5846,9.9184,0.4586,9.707,0.4454,8.9318,0.387,0.500082544,6.41E-05
sd,map,trait-envi,-0.256664551,3.646712,0.027660255,0.337748,0.354698371,8.069236,0.0808,0.5065,0.9686,-0.0814,-0.2918,-0.0481,0.9929,-0.0535,0.387201638,0.002675715
sd,mat,trait-envi,-0.34372328,7.81601,-0.028348778,-0.114808,0.244354765,3.438094,-0.0679,0.5492,6.3429,-0.3455,4.9571,-0.3259,3.3708,-0.2436,0.101085799,0.450233995
sd,pet,trait-envi,-0.309590142,5.942556,0.010686354,-0.356394,0.292881732,4.240622,0.0222,-0.4354,2.1845,0.1909,0.3705,0.1924,1.9741,0.1935,0.109560622,0.412961038
sd,rfl2mm,trait-envi,-0.169922892,1.90338,0.130006692,1.422016,0.417096624,10.50508,0.1595,1.6389,8.9525,0.3857,0.1616,-0.0591,0.9073,-0.0127,0.466011972,0.000227218
sd,rflcv,trait-envi,-0.369981388,7.830458,-0.032096342,0.811922,0.267654034,4.822682,0.044,1.1837,8.6554,0.3587,13.3367,0.4349,12.823,0.4667,-0.032049328,0.811238648
sd,summer,trait-envi,-0.195100899,1.966646,0.071460996,1.132988,0.362842903,7.856126,0.1149,0.6186,0.7964,-0.0738,-0.4803,-0.0516,0.6726,-0.0321,0.573256173,2.56E-06
sd,tmax,trait-envi,-0.397768811,9.492644,-0.098598807,1.177396,0.199499012,2.973422,-0.1546,0.9049,0.634,-0.1025,0.889,-0.0789,0.4081,-0.1136,-0.455205799,0.000330367
sd,tmin,trait-envi,-0.277011359,4.694858,-0.087455934,-0.143506,0.067240706,0.050874,-0.0969,0.6937,1.0488,0.196,1.6969,0.1763,2.2286,0.2227,-0.206322105,0.120215894
sd,tvar,trait-envi,-0.234485298,1.335396,0.019846963,0.461316,0.260514427,4.405574,-0.0152,-0.2213,-0.0044,-0.0853,0.972,-0.1568,5.8809,-0.3335,-0.134536034,0.313993172
nmass,d13c,trait-trait,-0.269928642,4.538996,0.103957914,0.54374,0.402054022,10.822524,0.1053,-0.2231,1.6874,0.1775,2.2201,0.1838,2.4127,0.2207,-0.224448612,0.090298429
nmass,cnratio,trait-trait,-0.979015632,174.387744,-0.943218827,122.739938,-0.871122609,79.497978,-0.9943,248.8215,1.3932,0.2012,0.9998,0.1415,1.9071,0.1821,-0.993751407,0
nmass,elev,trait-envi,-0.419450949,10.019808,0.031312426,0.647854,0.441154462,11.387722,0.0282,-0.3713,-0.0286,-0.0355,-0.1542,-0.0519,-0.5731,-0.0882,0.157935835,0.236385863
nmass,map,trait-envi,-0.265057596,3.005896,0.317018177,5.4596,0.653969201,30.788102,0.4073,10.1028,1.0127,-0.079,0.0091,0.0091,0.0845,0.1066,0.35571211,0.006138258
nmass,mat,trait-envi,-0.50382068,16.017442,-0.040792711,-0.067932,0.47257516,12.690182,-0.0928,-0.8639,-0.3415,0.0139,-0.2085,0.0133,-0.3393,-0.014,0.096902129,0.469295868
nmass,pet,trait-envi,-0.609976586,26.275876,-0.163472055,2.165274,0.403463574,9.312014,-0.2888,4.7157,3.2346,0.2449,2.0985,0.205,8.5238,0.3799,-0.243322418,0.065692259
nmass,rfl2mm,trait-envi,-0.417692252,10.204358,0.046884202,0.109744,0.590946599,23.163678,0.1998,1.4727,3.0076,0.2304,2.5305,0.2547,4.7535,0.2721,0.238128136,0.071853892
nmass,rflcv,trait-envi,-0.566902729,20.571838,-0.017676003,-0.07138,0.517406081,18.294532,-0.0451,-0.8203,0.7044,-0.1218,1.7494,-0.1405,1.5765,-0.1691,-0.122473715,0.359728803
nmass,summer,trait-envi,-0.043668532,0.723042,0.390365687,7.735908,0.655945544,31.316414,0.459,12.5437,0.8323,-0.0843,0.3592,-0.0856,0.4514,-0.1288,0.377908027,0.003447759
nmass,tmax,trait-envi,-0.49871067,15.248472,-0.043417219,0.317574,0.60570865,23.865726,-0.0681,1.7184,0.6739,0.0514,0.8283,0.0501,0.3437,0.1447,-0.019302722,0.88564389
nmass,tmin,trait-envi,-0.240027624,3.74689,-0.111529602,0.962234,0.361168229,8.096342,-0.1136,0.4319,0.4418,-0.0711,0.234,-0.0583,-0.424,-0.0705,-0.135226379,0.311493589
nmass,tvar,trait-envi,-0.510429592,16.283494,0.056373475,0.016888,0.515964829,16.440594,0.1848,2.4078,7.0207,-0.3671,11.1047,-0.4292,9.4089,-0.415,0.208733072,0.115849858
d13c,cnratio,trait-trait,-0.462159784,12.710364,-0.145345994,-0.336544,0.222852426,2.64851,-0.155,1.4379,0.5903,0.0326,-0.2181,0.0726,0.7094,0.1056,0.200843552,0.130601877
d13c,elev,trait-envi,-0.411119263,11.428144,0.127470775,0.712756,0.598492419,25.258162,0.1709,1.3762,5.8201,0.3982,5.1751,0.315,2.9264,0.2506,0.434973662,0.000644558
d13c,map,trait-envi,-0.442351391,12.023854,0.037272949,-0.105432,0.52999997,17.929858,0.1482,0.8396,1.2459,-0.1586,1.7407,-0.1835,1.14,-0.1754,-0.093888488,0.48329124
d13c,mat,trait-envi,-0.5310108,18.19733,-0.044348004,-0.05594,0.476996703,13.866652,-0.0332,-0.2279,7.6054,-0.3653,1.6165,0.0807,0.2839,-0.015,-0.228015519,0.085165534
d13c,pet,trait-envi,-0.330786882,4.927344,-0.041180002,0.331554,0.335599105,6.749258,-0.0021,0.4169,7.7553,-0.3552,13.1963,-0.4668,13.7956,-0.4842,0.425396723,0.000872022
d13c,rfl2mm,trait-envi,-0.495650948,15.396364,0.032313895,-0.277194,0.427331674,11.425124,0.0189,0.1579,0.172,0.0233,0.7713,0.0496,1.2603,0.0662,-0.046911859,0.726574833
d13c,rflcv,trait-envi,-0.416387297,11.50292,0.09310549,0.822766,0.54105104,18.365934,0.2054,2.7646,0.936,0.1116,0.4718,0.079,0.4786,0.1182,0.422743749,0.000946708
d13c,summer,trait-envi,-0.260564662,3.771626,0.139860665,1.85768,0.584062427,22.789296,0.1808,2.4561,2.5724,-0.2169,0.6016,-0.1786,2.1463,-0.1923,0.125406378,0.348251646
d13c,tmax,trait-envi,-0.547501889,19.55427,-0.110045684,0.305998,0.387076943,9.161402,-0.1117,0.7701,1.5781,0.1629,1.1515,0.1244,4.746,0.2893,-0.389123439,0.002536751
d13c,tmin,trait-envi,-0.318021312,6.086674,-0.008535453,-0.48899,0.25645284,3.268868,-0.0724,-0.1224,0.3267,-0.1002,2.5808,-0.2073,9.7543,-0.4166,-0.364642377,0.004890145
d13c,tvar,trait-envi,-0.473378374,14.697444,0.071311197,0.373782,0.478453227,13.975238,0.0505,-0.0039,11.755,0.4523,17.4528,0.4775,26.9967,0.6044,0.049582482,0.711668375
cnratio,elev,trait-envi,-0.441994566,10.824092,-0.033111333,0.034472,0.442329774,11.066412,-0.0402,-0.618,9.9808,0.3803,3.0831,0.2406,13.5321,0.4527,-0.171800216,0.197216837
cnratio,map,trait-envi,-0.668206801,32.308126,-0.315376463,6.027774,0.289528909,4.004946,-0.3942,10.3158,15.8252,-0.5072,9.0933,-0.3912,0.7696,-0.071,-0.35810714,0.005778784
cnratio,mat,trait-envi,-0.510677744,17.84323,0.040672555,-0.68469,0.525066861,17.5182,0.0787,0.4295,87.1851,-0.8834,94.6814,-0.9039,98.6133,-0.9061,-0.087116618,0.51552707
cnratio,pet,trait-envi,-0.390805395,6.555634,0.213006458,3.240096,0.614755853,25.897522,0.3142,5.316,13.1289,0.4631,19.0512,0.5402,26.6293,0.6078,0.251334741,0.057025765
cnratio,rfl2mm,trait-envi,-0.601158632,22.193372,-0.039603014,-0.096918,0.455903102,13.60603,-0.1567,0.1266,0.3026,0.0763,-0.0751,-0.0487,2.912,-0.2293,-0.233625907,0.077559555
cnratio,rflcv,trait-envi,-0.544990403,20.839352,0.026444368,-0.386614,0.575507084,20.901046,0.0353,0.0383,4.87,-0.286,37.1218,-0.7076,51.9752,-0.7776,0.113874867,0.394691691
cnratio,summer,trait-envi,-0.671599233,31.612746,-0.383785848,10.659896,-0.018401647,0.135178,-0.5126,13.3539,77.0639,0.869,78.4946,0.8843,99.4846,0.9058,-0.385676492,0.00279077
cnratio,tmax,trait-envi,-0.587644793,21.7001,0.02835059,0.083918,0.554739464,18.168858,0.0772,-0.2911,19.3404,-0.4924,19.9502,-0.5949,41.9361,-0.7206,0.033975694,0.800120192
cnratio,tmin,trait-envi,-0.381745058,8.735176,0.094167834,0.597294,0.269537418,3.22875,0.1013,0.4076,9.4826,0.3911,10.487,0.4176,0.0768,-0.0564,0.150233299,0.260318386
cnratio,tvar,trait-envi,-0.547769274,19.823502,-0.052034048,0.286738,0.511831941,18.40427,-0.1886,2.6589,10.1074,-0.3982,8.9212,-0.381,24.7775,-0.5965,-0.212808411,0.108746875
elev,pet,envi-envi,-0.592138176,24.595122,0.036665506,0.011038,0.575133466,25.272938,0.142,0.8984,3.4522,0.2127,5.0425,0.2738,14.4076,0.4747,0.134085129,0.315632711
elev,rfl2mm,envi-envi,-0.619481224,29.594714,-0.080318819,0.5162,0.364933428,7.528734,-0.2169,2.8434,15.6748,-0.5119,16.879,-0.4956,38.035,-0.6798,0.212424351,0.109401601
elev,rflcv,envi-envi,-0.294583144,3.72114,0.164021244,1.922672,0.614697755,26.063374,0.5359,17.9779,56.7075,-0.7852,0.0763,-0.7509,19.2271,-0.5617,0.378679957,0.00337685
elev,summer,envi-envi,-0.378968583,9.224298,0.074619404,0.369818,0.50132555,16.361198,0.2382,2.9381,2.1563,-0.1715,1.4667,0.0512,4.4598,-0.2403,0.524071434,2.42E-05
elev,tmax,envi-envi,-0.608049871,26.59737,-0.162792026,1.79269,0.413309754,11.297174,-0.3788,8.9677,0.6678,-0.1262,-0.286,0.0167,1.8316,0.1695,-0.831573412,6.66E-16
elev,tmin,envi-envi,-0.814110412,62.141758,-0.550188051,20.456786,-0.000460121,-0.223798,-0.9048,94.5327,0.4685,-0.0198,0.869,0.0567,1.8048,-0.1814,-0.861228677,0
elev,tvar,envi-envi,-0.397227132,9.84704,0.158106284,1.399262,0.629483742,28.553802,0.537,19.1744,7.2496,-0.344,-0.4924,-0.3387,-0.213,-0.015,0.228756896,0.084128057
map,elev,envi-envi,-0.597894333,25.356242,-0.00222172,0.186966,0.591318171,24.69835,-0.0483,0.0871,-0.1282,-0.0652,0.3911,0.0403,1.6034,0.1513,0.226231191,0.087703775
map,pet,envi-envi,-0.706583694,39.192268,-0.20163294,1.737572,0.301019151,5.18877,-0.6741,37.266,39.992,0.7245,-0.3982,0.7159,43.2145,0.7093,-0.622527867,1.81E-07
map,rfl2mm,envi-envi,-0.247212879,3.072268,0.338041164,7.02723,0.759533014,48.521892,0.8645,78.7966,32.8804,0.6646,0.2127,0.6668,9.2721,0.3759,0.898460992,0
map,rflcv,envi-envi,-0.639267291,30.794228,-0.192299708,2.438062,0.47043981,14.131488,-0.574,20.4326,0.7105,-0.1207,-0.5119,-0.1089,2.5821,0.1266,-0.650801295,3.19E-08
map,summer,envi-envi,-0.263895946,4.11433,0.261852749,3.858284,0.698300977,38.223702,0.4007,10.3263,43.3226,-0.7857,43.0368,-0.7324,59.0058,-0.7975,0.776543982,7.88E-13
map,tmax,envi-envi,-0.506091654,16.123344,-0.093153618,0.049458,0.470940026,14.174348,-0.3755,8.041,45.156,0.8625,44.898,0.7289,58.0226,0.7948,-0.30563935,0.019640614
map,tmin,envi-envi,-0.295021784,5.589218,0.181393215,1.821822,0.56046216,21.3888,0.293,4.7466,1.6477,-0.1824,1.714,-0.1887,1.0493,0.1207,0.084893,0.526343784
map,tvar,envi-envi,-0.699586553,30.882684,-0.261727702,3.113724,0.329109388,7.132158,-0.4783,16.7558,2.1483,0.2627,0.9254,0.1561,10.9287,0.3912,-0.352025095,0.006729952
mat,elev,envi-envi,-0.689726992,37.418862,-0.212141351,2.476424,0.189311052,1.780544,-0.7458,45.667,5.9319,-0.4115,4.9925,-0.2951,13.6677,-0.4684,-0.487181456,0.000105177
mat,map,envi-envi,-0.584322836,23.971912,-0.061751553,0.566082,0.430085268,10.880696,-0.1011,1.4085,9.085,0.2317,7.1911,0.3567,23.4662,0.5863,0.304419273,0.020159811
mat,pet,envi-envi,-0.543546196,19.881914,-0.023064793,-0.018928,0.580711978,23.195908,-0.0187,0.2839,64.1424,-0.8226,70.5315,-0.8454,104.9674,-0.9177,-0.021503186,0.872710192
mat,rfl2mm,envi-envi,-0.442841002,15.260178,0.028741598,0.525224,0.557735881,19.393036,0.037,0.041,9.0714,0.3825,4.346,0.2643,2.7865,-0.2145,0.399195446,0.00190822
mat,rflcv,envi-envi,-0.612738524,25.603898,-0.099064057,0.827656,0.420817633,10.70279,-0.3588,6.3878,13.7563,-0.4654,10.5476,-0.433,31.9368,-0.645,-0.551219939,7.32E-06
mat,summer,envi-envi,-0.410646509,10.8409,0.072159638,0.992198,0.515762693,16.820632,-0.0349,0.2157,10.8132,0.4407,13.2165,0.458,29.6632,0.6367,0.346209378,0.007764735
mat,tmax,envi-envi,-0.20403034,2.399464,0.187525237,2.040728,0.594727316,20.696192,0.7142,39.7365,34.8093,-0.6706,36.4365,-0.6852,69.9761,-0.8418,0.555397148,6.03E-06
mat,tmin,envi-envi,-0.076921897,0.68094,0.320847497,6.155472,0.685126403,36.830438,0.666,33.414,1.3632,-0.1499,0.1998,-0.0588,9.1674,0.4145,0.692082963,1.78E-09
mat,tvar,envi-envi,-0.561912267,20.68839,-0.030853614,-0.593676,0.474634213,14.05826,-0.1251,0.7631,1.065,0.1364,1.5085,0.1496,15.9254,0.5211,-0.182302453,0.170793166
pet,rfl2mm,envi-envi,-0.786258786,58.440282,-0.270266197,3.87825,0.32008607,5.729676,-0.7366,43.4038,31.8548,-0.6463,31.3587,-0.6533,50.2557,-0.7607,-0.476374029,0.000156828
pet,rflcv,envi-envi,-0.406672266,11.898994,0.242725548,3.341368,0.720471498,41.883648,0.7313,44.8948,35.0176,0.6739,35.4817,0.6851,73.0917,0.8478,0.637035883,7.61E-08
pet,summer,envi-envi,-0.597755182,24.897024,-0.157685983,1.676974,0.400917327,9.516838,-0.1837,1.9484,-0.181,-0.0987,3.1461,-0.2332,1.2688,-0.1319,-0.256919208,0.05155139
pet,tmax,envi-envi,-0.543652917,20.1971,0.017641519,0.520274,0.587120018,24.01917,0.1579,0.7254,0.7631,0.0514,0.1305,0.0676,0.5084,0.0738,0.051571954,0.700632779
pet,tmin,envi-envi,-0.589024996,24.107566,-0.210182793,2.743828,0.221220405,2.660022,-0.285,4.9002,0.6208,0.1312,3.5033,0.2571,1.6741,0.1302,-0.187891001,0.157832203
pet,tvar,envi-envi,-0.32695901,6.998888,0.128728546,1.291974,0.65295955,32.226696,0.3433,7.4264,4.7287,0.2583,6.8234,0.3274,7.1443,0.3182,0.290154351,0.027145772
rfl2mm,rflcv,envi-envi,-0.691993188,37.118736,-0.291388563,4.816594,0.275831058,4.615342,-0.8403,71.01,1.2804,0.1454,0.7736,0.0915,0.4532,0.0706,-0.764098889,3.00E-12
rfl2mm,summer,envi-envi,-0.353341262,7.70581,0.201557137,2.363848,0.607274518,24.333618,0.3023,4.4629,-0.4171,-0.0575,0.3939,-0.0701,-0.7454,-0.0453,0.78061389,5.00E-13
rfl2mm,tmax,envi-envi,-0.66829314,34.40724,-0.078450027,0.220722,0.497927977,16.596168,-0.4209,11.2244,0.692,-0.1133,0.0393,0.0111,0.5607,0.0233,-0.338550301,0.00933734
rfl2mm,tmin,envi-envi,-0.189126792,1.373576,0.312623731,5.693848,0.620408894,26.824148,0.4191,13.2969,2.0438,0.1827,1.698,0.173,-0.411,0.0779,0.127562313,0.339960429
rfl2mm,tvar,envi-envi,-0.699795803,38.900756,-0.24931558,3.879242,0.237116263,3.269218,-0.6847,36.2555,0.077,-0.0519,0.637,0.0157,1.1094,0.053,-0.440922209,0.000531832
rflcv,summer,envi-envi,-0.524658823,17.93873,-0.041605977,-0.765736,0.428315541,11.490512,-0.0531,0.2583,6.6505,0.3338,0.8016,0.1054,1.632,0.1737,-0.351387396,0.006837197
rflcv,tmax,envi-envi,-0.508047416,15.248122,-0.009855641,0.64945,0.464522383,13.295912,0.1377,2.3766,1.7797,-0.1579,0.8244,-0.1319,-0.4137,-0.0826,-0.145093625,0.277165598
rflcv,tmin,envi-envi,-0.672971097,33.768286,-0.373028609,8.480866,0.157809624,1.092084,-0.6473,31.1985,0.2325,-0.0828,1.4059,-0.1162,0.8856,-0.157,-0.563012097,4.21E-06
rflcv,tvar,envi-envi,-0.269213301,3.681366,0.227346673,2.8294,0.675868712,34.065644,0.682,35.3636,0.0996,0.0542,0.0845,0.0064,0.1528,0.054,0.516122528,3.37E-05
summer,tmax,envi-envi,-0.57784633,22.874492,-0.098805645,0.41955,0.397386603,11.592884,-0.1496,1.6336,4.1875,-0.2777,0.7338,-0.1479,1.5379,0.2018,-0.43018409,0.000750567
summer,tmin,envi-envi,-0.484648521,14.374902,-0.075725031,0.622026,0.32860354,6.325912,-0.1855,1.8737,2.7666,-0.2142,2.3886,-0.1895,15.4043,-0.4793,-0.231918216,0.079815378
summer,tvar,envi-envi,-0.449670675,13.082102,0.060856752,0.248284,0.511716611,17.35021,0.0634,0.9676,0.1771,0.0632,0.8024,0.132,16.6317,0.5082,-0.030298909,0.821373875
tmax,tmin,envi-envi,-0.34782522,7.425972,0.106287429,0.7029,0.556141263,21.801984,0.1678,1.5001,1.1221,0.1332,1.5665,0.1535,2.7209,-0.1923,0.631747106,1.05E-07
tmax,tvar,envi-envi,-0.326299118,5.722116,0.104949157,1.164304,0.592328995,24.208998,0.4945,16.3,16.6281,0.4727,16.6416,0.5018,37.5317,0.7007,0.253197902,0.055149331
tmin,tvar,envi-envi,-0.731021733,41.802408,-0.478245631,13.61396,-0.05987153,0.415436,-0.771,51.1751,51.8668,-0.7745,51.9831,-0.7688,52.3199,-0.7634,-0.575583165,2.28E-06
