In_analyses,Name_in_Duchene,NameInTree,Brain.size,M.avgBL,M.avgWT,F.avgBL,F.avgWT,  ,F.logBL,M.logWT,M.logBL,Genus species,M.minBL,M.maxBL,F.minBL,F.maxBL,M.minWT,M.maxWT,F.minWT,F.maxWT,M.BC,M.logBC,F.logBC,Biome,Habitat,Ecology
,,Echymipera_clara,,225,1325,225,825,2.916453949,2.352182518,3.122215878,2.352182518,Echymipera clara               ,150,300,150,300,650,2000,650,1000,0.169811321,-0.77003336,,,,
,,Echymipera_rufescens,,379,1375,315,750,2.875061263,2.498310554,3.138302698,2.57863921,Echymipera rufescens           ,278,480,215,415,525,2225,300,1200,0.275636364,-0.559663488,,,,
,,Gymnobelideus_leadbeateri,,160,117.5,160,138,2.139879086,2.204119983,2.070037867,2.204119983,Gymnobelideus leadbeateri      ,150,170,150,170,100,135,110,166,1.361702128,0.134082116,,,,
,,Hemibelideus_lemuroides,,337.5,945,356.5,1010,3.004321374,2.552059534,2.975431809,2.528273777,Hemibelideus lemuroides        ,315,360,313,400,810,1080,850,1170,0.357142857,-0.447158031,,,,
,,Isoodon_auratus,,242.5,485,242.5,425,2.62838893,2.384711743,2.685741739,2.384711743,Isoodon auratus                ,190,295,190,295,300,670,250,600,0.5,-0.301029996,,,,
,,Isoodon_macrourus,,385,1800,355,1100,3.041392685,2.550228353,3.255272505,2.58546073,Isoodon macrourus              ,300,470,300,410,500,3100,500,1700,0.213888889,-0.669811776,,,,
,,Lagorchestes_conspicillatus,,440,3175,440,3175,3.50174373,2.643452676,3.50174373,2.643452676,Lagorchestes conspicillatus    ,390,490,390,490,1600,4750,1600,4750,0.138582677,-0.858291053,,,,
,,Lagorchestes_hirsutus,,335,1522.5,375,1680,3.225309282,2.574031268,3.182557301,2.525044807,Lagorchestes hirsutus          ,310,360,360,390,1245,1800,1400,1960,0.220032841,-0.657512494,,,,
,,Lagostrophus_fasciatus,,425,1650,425,1650,3.217483944,2.62838893,3.217483944,2.62838893,Lagostrophus fasciatus         ,400,450,400,450,1000,2300,1000,2300,0.257575758,-0.589095014,,,,
,,Macropus_agilis,,782.5,21500,657.5,12000,4.079181246,2.817895757,4.33243846,2.893484346,Macropus agilis                ,715,850,593,722,16000,27000,9000,15000,0.036395349,-1.438954114,,,,
,,Macropus_antilopinus,,1015,34800,834,19250,4.284430734,2.921166051,4.541579244,3.006466042,Macropus antilopinus           ,830,1200,733,935,18600,51000,14000,24500,0.029166667,-1.535113202,,,,
,,Macropus_eugenii,,635,8000,575,5000,3.698970004,2.759667845,3.903089987,2.802773725,Macropus eugenii               ,590,680,520,630,6000,10000,4000,6000,0.079375,-1.100316262,,,,
,,Macropus_fuliginosus,,1585.5,45000,1358.5,28000,4.447158031,3.133059643,4.653212514,3.200166246,Macropus fuliginosus           ,946,2225,971,1746,18000,72000,17000,39000,0.035233333,-1.453046267,,,,
,,Macropus_giganteus,,1637,52000,1407.5,29500,4.469822016,3.148448404,4.716003344,3.214048679,Macropus giganteus             ,972,2302,958,1857,19000,85000,17000,42000,0.031480769,-1.501954664,,,,
,,Macropus_irma,,1200,8000,1200,8000,3.903089987,3.079181246,3.903089987,3.079181246,Macropus irma                  ,1200,,1200,,7000,9000,7000,9000,0.15,-0.823908741,,,,
,,Macropus_parma,,505,5000,487,4000,3.602059991,2.687528961,3.698970004,2.703291378,Macropus parma                 ,482,528,447,527,4100,5900,3200,4800,0.101,-0.995678626,,,,
,,Macropus_parryi,,869.5,20000,869.5,11000,4.041392685,2.939269586,4.301029996,2.939269586,Macropus parryi                ,736,1003,736,1003,14000,26000,7000,15000,0.043475,-1.361760409,,,,
,,Macropus_robustus,,836,33625,702,17125,4.23363058,2.846337112,4.526662293,2.922206277,Macropus robustus              ,587,1085,573,831,7250,60000,6250,28000,0.024862454,-1.604456016,,,,
,,Macropus_rufogriseus,,829,19350,772.5,13750,4.138302698,2.887898488,4.286680969,2.918554531,Macropus rufogriseus           ,770,888,708,837,15000,23700,12000,15500,0.042842377,-1.368126439,,,,
,,Macropus_rufus,,1167.5,57000,922.5,28000,4.447158031,2.964966375,4.755874856,3.067256889,Macropus rufus                 ,935,1400,745,1100,22000,92000,17000,39000,0.020482456,-1.688617966,,,,
,,Micromurexia_habbema,,110,40,110,40,1.602059991,2.041392685,1.602059991,2.041392685,Micromurexia habbema           ,110,,110,,40,,40,,2.75,0.439332694,,,,
,,Microperoryctes_longicauda,,267,538,267,538,2.730782276,2.426511261,2.730782276,2.426511261,Microperoryctes longicauda     ,267,,267,,538,,538,,0.496282528,-0.304271014,,,,
,,Microperoryctes_papuensis,,190,158,190,158,2.198657087,2.278753601,2.198657087,2.278753601,Microperoryctes papuensis      ,190,,190,,158,,158,,1.202531646,0.080096514,,,,
,,Murexechinus_melanurus,,108,38,108,38,1.579783597,2.033423755,1.579783597,2.033423755,Murexechinus melanurus         ,108,,108,,38,,38,,2.842105263,0.453640159,,,,
,,Murexia_longicaudata,,180,126,180,126,2.100370545,2.255272505,2.100370545,2.255272505,Murexia longicaudata           ,180,,180,,126,,126,,1.428571429,0.15490196,,,,
,,Myoictis_spp.,,190,210,190,210,2.322219295,2.278753601,2.322219295,2.278753601,Myoictis spp.                  ,190,,190,,200,220,200,220,0.904761905,-0.043465694,,,,
,,Neophascogale_lorentzii,,195,206,195,206,2.31386722,2.290034611,2.31386722,2.290034611,Neophascogale lorentzii        ,195,,195,,200,212,200,212,0.946601942,-0.023832609,,,,
,,Ningaui_ridei,,66,8.5,66,8.5,0.929418926,1.819543936,0.929418926,1.819543936,Ningaui ridei                  ,57,75,57,75,6.5,10.5,6.5,10.5,7.764705882,0.89012501,,,,
,,Notoryctes_caurinus,,89.5,40,89.5,40,1.602059991,1.951823035,1.602059991,1.951823035,Notoryctes caurinus            ,86,93,86,93,30,50,30,50,2.2375,0.349763044,,,,
,,Onychogalea_unguifera,,615,7500,545,5750,3.759667845,2.736396502,3.875061263,2.788875116,Onychogalea unguifera          ,540,690,490,600,6000,9000,4500,7000,0.082,-1.086186148,,,,
,,Paramurexia_rothschildi,,129,43,129,43,1.633468456,2.11058971,1.633468456,2.11058971,Paramurexia rothschildi        ,129,,129,,43,,43,,3,0.477121255,,,,
,,Parantechinus_apicalis,,145,92.5,140,56.5,1.752048448,2.146128036,1.966141733,2.161368002,Parantechinus apicalis         ,145,,140,,60,125,40,73,1.567567568,0.195226269,,,,
,,Perameles_bougainville,,202.5,224,197.5,236,2.372912003,2.2955671,2.350248018,2.306425028,Perameles bougainville         ,179,226,173,222,168,280,170,302,0.904017857,-0.043822991,,,,
,,Peroryctes_broadbenti,,515,4800,515,4800,3.681241237,2.711807229,3.681241237,2.711807229,Peroryctes broadbenti          ,515,,515,,4800,,4800,,0.107291667,-0.969434008,,,,
,,Petaurus_abidi,,280,597.5,275,547.5,2.738384124,2.439332694,2.77633791,2.447158031,Petaurus abidi                 ,260,300,240,310,470,725,435,660,0.468619247,-0.329179878,,,,
,,Petaurus_breviceps,,185,137.5,185,115,2.06069784,2.267171728,2.138302698,2.267171728,Petaurus breviceps             ,160,210,160,210,115,160,95,135,1.345454545,0.12886903,,,,
,,Petaurus_norfolcensis,,205,245,205,245,2.389166084,2.311753861,2.389166084,2.311753861,Petaurus norfolcensis          ,180,230,180,230,190,300,190,300,0.836734694,-0.077412223,,,,
,,Petrogale_assimilis,,530,4700,497.5,4300,3.633468456,2.696793085,3.672097858,2.72427587,Petrogale assimilis            ,470,590,445,550,4700,,4300,,0.112765957,-0.947821988,,,,
,,Petrogale_brachyotis,,492.5,4400,445,3450,3.537819095,2.648360011,3.643452676,2.692406235,Petrogale brachyotis           ,435,550,405,485,3200,5600,2200,4700,0.111931818,-0.951046442,,,,
,,Petrogale_burbidgei,,329.5,1195,329.5,1195,3.077367905,2.517855419,3.077367905,2.517855419,Petrogale burbidgei            ,306,353,306,353,960,1430,960,1430,0.275732218,-0.559512486,,,,
,,Petrogale_concinna,,320,1375,320,1375,3.138302698,2.505149978,3.138302698,2.505149978,Petrogale concinna             ,290,350,290,350,1050,1700,1050,1700,0.232727273,-0.63315272,,,,
,,Petrogale_herberti,,558.5,5850,518,4300,3.633468456,2.71432976,3.767155866,2.747023177,Petrogale herberti             ,502,615,470,566,5000,6700,3700,4900,0.095470085,-1.020132689,,,,
,,Petrogale_inornata,,538.5,4500,507,4050,3.607455023,2.705007959,3.653212514,2.731185708,Petrogale inornata             ,507,570,454,560,3400,5600,3100,5000,0.119666667,-0.922026806,,,,
,,Petrogale_lateralis,,511,4650,460,3600,3.556302501,2.662757832,3.667452953,2.7084209,Petrogale lateralis            ,501,521,450,470,4100,5200,2800,4400,0.109892473,-0.959032053,,,,
,,Petrogale_pencillata,,557.5,8200,540,6550,3.8162413,2.73239376,3.913813852,2.746244872,Petrogale pencillata,529,586,510,570,5500,10900,4900,8200,0.067987805,-1.167568981,,,,
,,Petrogale_persephone,,562.5,7250,564.5,5800,3.763427994,2.751663946,3.860338007,2.750122527,Petrogale persephone           ,492,633,526,603,4300,10200,3500,8100,0.077586207,-1.11021548,,,,
,,Petrogale_purpureicollis,,499,5200,508.5,4200,3.62324929,2.706290957,3.716003344,2.698100546,Petrogale purpureicollis       ,389,609,465,552,3300,7100,2700,5700,0.095961538,-1.017902798,,,,
,,Petrogale_rothschildi,,562,5800,494.5,4500,3.653212514,2.694166296,3.763427994,2.749736316,Petrogale rothschildi,532,592,463,526,5000,6600,3700,5300,0.096896552,-1.013691678,,,,
,,Petrogale_xanthopus,,565,9000,565,9000,3.954242509,2.752048448,3.954242509,2.752048448,Petrogale xanthopus            ,480,650,480,650,6000,12000,6000,12000,0.062777778,-1.202194062,,,,
,,Petropseudes_dahli,,354.5,1640,367,1640,3.214843848,2.564666064,3.214843848,2.54961624,Petropseudes dahli             ,334,375,349,385,1280,2000,1280,2000,0.216158537,-0.665227609,,,,
,,Phascolosorex_dorsalis,,163,129,163,129,2.11058971,2.212187604,2.11058971,2.212187604,Phascolosorex dorsalis         ,163,,163,,120,138,120,138,1.263565891,0.101597894,,,,
,,Phascomurexia_naso,,122,52,122,52,1.716003344,2.086359831,1.716003344,2.086359831,Phascomurexia naso             ,122,,122,,52,,52,,2.346153846,0.370356487,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Potorous_longipes,,397.5,2100,397.5,1700,3.230448921,2.599337133,3.322219295,2.599337133,Potorous longipes              ,380,415,380,415,2000,2200,1600,1800,0.189285714,-0.722882162,,,,
,,Pseudantechinus_bilarni,,102.5,30,102.5,25,1.397940009,2.010723865,1.477121255,2.010723865,Pseudantechinus bilarni        ,90,115,90,115,20,40,15,35,3.416666667,0.533602611,,,,
,,Pseudantechinus_macdonnellensis,,100,35,100,30,1.477121255,2,1.544068044,2,Pseudantechinus macdonnellensis,95,105,95,105,25,45,20,40,2.857142857,0.455931956,,,,
,,Pseudantechinus_mimulus,,85,16,77,19.5,1.290034611,1.886490725,1.204119983,1.929418926,Pseudantechinus mimulus        ,80,90,63,91,14,18,14,25,5.3125,0.725298943,,,,
,,Pseudantechinus_ningbing,,95,22.5,85,17.5,1.243038049,1.929418926,1.352182518,1.977723605,Pseudantechinus ningbing       ,90,100,80,90,20,25,15,20,4.222222222,0.625541087,,,,
,,Pseudantechinus_woolleyae,,107.5,42.5,104,37.5,1.574031268,2.017033339,1.62838893,2.031408464,Pseudantechinus woolleyae      ,107,108,100,108,35,50,30,45,2.529411765,0.403019534,,,,
,,Pseudochirops_albertisii,,325,784,325,784,2.894316063,2.511883361,2.894316063,2.511883361,Pseudochirops albertisii       ,325,,325,,784,,784,,0.414540816,-0.382432702,,,,
,,Pseudochirops_archeri,,362,1140,363.5,1232.5,3.090786928,2.560504415,3.056904851,2.558708571,Pseudochirops archeri          ,324,400,324,403,910,1370,910,1555,0.31754386,-0.498196281,,,,
,,Pseudochirops_cupreus,,379,1725,379,1725,3.236789099,2.57863921,3.236789099,2.57863921,Pseudochirops cupreus          ,379,,379,,1725,,1725,,0.219710145,-0.658149889,,,,
,,Pseudochirulus_canescens,,353,1140,351.5,950,2.977723605,2.545925329,3.056904851,2.547774705,Pseudochirulus canescens       ,346,360,335,368,830,1450,700,1200,0.309649123,-0.509130146,,,,
,,Pseudochirulus_caroli,,310,440,310,440,2.643452676,2.491361694,2.643452676,2.491361694,Pseudochirulus caroli          ,310,,310,,440,,440,,0.704545455,-0.152090983,,,,
,,Pseudochirulus_herbertensis,,375,817.5,338.5,989.5,2.995415799,2.529558673,2.912487761,2.574031268,Pseudochirulus herbertensis    ,350,400,301,376,80,1555,749,1230,0.458715596,-0.338456494,,,,
,,Pseudochirulus_mayeri,,199,151,199,151,2.178976947,2.298853076,2.178976947,2.298853076,Pseudochirulus mayeri          ,199,,199,,151,,151,,1.317880795,0.119876129,,,,
,,Setonix_brachyurus,,485,3450,445,2550,3.40654018,2.648360011,3.537819095,2.685741739,Setonix brachyurus             ,430,540,390,500,2700,4200,1600,3500,0.14057971,-0.852077356,,,,
,,Sminthopsis_crassicaudata,,75,15,75,15,1.176091259,1.875061263,1.176091259,1.875061263,Sminthopsis crassicaudata      ,60,90,60,90,10,20,10,20,5,0.698970004,,,,
,,Sminthopsis_dolichura,,81,15.5,77.5,15.5,1.190331698,1.889301703,1.190331698,1.908485019,Sminthopsis dolichura          ,63,99,63,92,11,20,10,21,5.225806452,0.718153321,,,,
,,Sminthopsis_douglasi,,132.5,60,117.5,50,1.698970004,2.070037867,1.77815125,2.122215878,Sminthopsis douglasi           ,130,135,110,125,50,70,40,60,2.208333333,0.344064628,,,,
,,Spilocuscus_rufoniger,,700,7000,700,6000,3.77815125,2.84509804,3.84509804,2.84509804,Spilocuscus rufoniger          ,700,,700,,,7000,,6000,0.1,-1,,,,
,,Strigocuscus_celebensis,,352.5,1000,320,750,2.875061263,2.505149978,3,2.547159121,Strigocuscus celebensis        ,325,380,290,350,,1000,,750,0.3525,-0.452840879,,,,
,,Thylacinus_cynocephalus,,1150,25000,1150,25000,4.397940009,3.06069784,4.397940009,3.06069784,Thylacinus cynocephalus        ,1000,1300,1000,1300,15000,35000,15000,35000,0.046,-1.337242168,,,,
,,Thylogale_browni,,630,7900,560,6200,3.792391689,2.748188027,3.897627091,2.799340549,Thylogale browni               ,630,,560,,3800,12000,2400,10000,0.079746835,-1.098286542,,,,
,,Thylogale_brunii,,539,4000,539,4000,3.602059991,2.731588765,3.602059991,2.731588765,Thylogale brunii               ,539,,539,,4000,,4000,,0.13475,-0.870471226,,,,
,,Thylogale_stigmatica,,503,5250,453,3350,3.525044807,2.656098202,3.720159303,2.701567985,Thylogale stigmatica           ,470,536,386,520,3700,6800,2500,4200,0.095809524,-1.018591318,,,,
,,Thylogale_thetis,,460,5800,395,3050,3.484299839,2.596597096,3.763427994,2.662757832,Thylogale thetis               ,300,620,290,500,2500,9100,1800,4300,0.079310345,-1.100670162,,,,
,,Trichosurus_caninus,,450,3500,450,3500,3.544068044,2.653212514,3.544068044,2.653212514,Trichosurus caninus            ,400,500,400,500,2500,4500,2500,4500,0.128571429,-0.890855531,,,,
,,Trichosurus_johnstonii,,515,3400,515,3400,3.531478917,2.711807229,3.531478917,2.711807229,Trichosurus johnstonii         ,490,540,490,540,2600,4200,2600,4200,0.151470588,-0.819671688,,,,
,,Wyulda_squamicaudata,,352.5,1450,352.5,1450,3.161368002,2.547159121,3.161368002,2.547159121,Wyulda squamicaudata           ,310,395,310,395,900,2000,900,2000,0.243103448,-0.614208881,,,,
,,Potorous_gilbertii,,328.5,1022.5,317,902.5,2.955447211,2.501059262,3.009663317,2.516535374,Potorous gilbertii             ,286,371,291,343,845,1200,710,1095,0.321271394,-0.493127943,,,,