,Name_in_Duchene,Brain.size,M.avgBL,M.avgWT,logBrain,logLength,logWeight,weight_res,brain_res,nonlogweight_res,nonlogbrain_res
1,Acrobatidae_Acrobates_pygmaeus,0.35,68.5,11.5,-1.049822124,4.226833745,2.442347035,-0.117658259,-0.008694558,3886.008141,5.371076145
2,Potoroidae_Aepyprymnus_rufescens,12.3,372.5,2450,2.509599262,5.920237038,7.803843304,0.498700759,0.587829099,-1313.42478,2.619413586
3,Dasyuridae_Antechinus_stuartii,0.76,111,50,-0.274436846,4.709530201,3.912023005,-0.000560818,-0.077869013,2856.705019,3.725745031
4,Potoroidae_Bettongia_lesueur,10.5,360,880,2.351375257,5.886104031,6.779921907,-0.429575494,0.489326607,-2569.365038,1.423922737
5,Potoroidae_Bettongia_penicillata,9.56,332.5,1240,2.257587727,5.80663986,7.122866659,0.136038246,0.534575191,-1518.433606,1.81384287
6,Burramyidae_Burramys_parvus,1,110,52.5,0,4.700480366,3.96081317,0.073588168,0.212402063,2884.329798,4.014105763
7,Burramyidae_Cercartetus_nanus_northern,0.43,90,29,-0.84397007,4.49980967,3.36729583,0.042376332,-0.280460418,3363.325385,4.411320405
8,Dasyuridae_Dasyurus_geffroii,5.17,355,1447.5,1.642872689,5.872117789,7.277593209,0.107287085,-0.194704647,-1876.241142,-3.664273602
9,Dasyuridae_Dasyurus_maculatus,9.41,569.5,3250,2.241772954,6.344758783,8.086410275,-0.408297658,-0.42277037,-5463.006311,-9.797650638
10,Didelphidae_Didelphis_virginiana,6.72,500,2600,1.905088155,6.214608098,7.863266724,-0.266741989,-0.53173436,-4366.834147,-9.126579757
11,Acrobatidae_Distoechurus_pennatus,1.22,115,51.5,0.198850859,4.744932128,3.941581808,-0.07020284,0.333476985,2757.705902,3.992302103
12,Macropodidae_Dorcopsulus_vanheurni,6.7,490,4000,1.902107526,6.194405391,8.29404964,0.220651552,-0.499366908,-2715.586353,-8.662972436
13,Microbiotheriidae_Dromiciops_gliroides,0.81,94,37,-0.210721031,4.543294782,3.610917913,0.16414745,0.276704005,3270.826268,4.597877477
14,Peramelidae_Echymipera_kalubu,3.73,360,1325,1.316408234,5.886104031,7.189167738,-0.020329664,-0.545640417,-2124.365038,-5.346077263
15,Hypsiprymnodontidae_Hypsiprymnodon_moschatus,4.13,213,520,1.418277407,5.361292166,6.253828812,0.514922818,0.474476579,763.9775256,2.162950356
16,Peramelidae_Isoodon_obesulus,3.89,330,1175,1.358409158,5.799092654,7.069023427,0.10334327,-0.351398256,-1520.621658,-3.7352553
17,Vombatidae_Lasiorhinus_latifrons,55.5,975,27500,4.016383021,6.882437471,10.22194128,0.220587424,0.411079176,8598.895664,16.68207249
18,Thylacomyidae_Macrotis_lagotis,6.57,425,1750,1.882513832,6.052089169,7.467371067,-0.207238374,-0.269954111,-3332.475696,-5.649524849
19,Marmosidae_Monodelphis_domestica,1.8,150,155,0.587786665,5.010635294,5.043425117,0.287105487,0.257519809,1981.838624,2.879676479
20,Myrmecobiidae_Myrmecobius_fasciatus,4.25,256,578.5,1.446918983,5.545177444,6.360438547,0.10626198,0.181379513,-257.8879862,0.203438876
21,Notoryctidae_Notoryctes_typhlops,0.78,92,55,-0.248461359,4.521788577,4.007333185,0.620825919,0.276592449,3339.075827,4.664598941
22,Macropodidae_Onychogalea_fraenata,14.7,605,6500,2.687847494,6.405228458,8.779557456,0.115405593,-0.082497834,-3104.935978,-6.224456628
23,Peramelidae_Perameles_gunnii,4.5,310,800,1.504077397,5.736572297,6.684611728,-0.105878221,-0.096339995,-1393.126071,-2.158040657
24,Peramelidae_Perameles_nasuta,4.96,377.5,925,1.601405741,5.933570569,6.829793738,-0.512711103,-0.343693708,-2964.048677,-4.962390074
25,Peramelidae_Peroryctes_raffrayana,4.01,346,838,1.388791241,5.846438775,6.7310181,-0.367332071,-0.403856281,-2259.618127,-4.389027013
26,Pseudochiridae_Petauroides_volans,4.69,410,1300,1.545432582,6.01615716,7.170119543,-0.403803714,-0.544166185,-3405.604006,-6.804113868
27,Phalangeridae_Phalanger_carmelitae,8.9,375,1850,2.186051277,5.926926026,7.522940918,0.199054955,0.252577588,-1976.236728,-0.901488244
28,Phalangeridae_Phalanger_orientalis,9.22,424,1850,2.221375038,6.049733455,7.522940918,-0.145067506,0.073028817,-3207.350916,-2.951164117
29,Dasyuridae_Phascogale_calura,0.91,113.5,53.5,-0.094310679,4.731802837,3.979681654,0.004686996,0.063287381,2797.393071,3.754843201
30,Dasyuridae_Phascogale_tapoatafa,1.81,210.5,253,0.593326845,5.349485653,5.533389489,-0.172433114,-0.329816476,559.789474,-0.036147813
31,Phascolarctidae_Phascolarctos_cinereus,20.2,785,12200,3.005682604,6.665683718,9.409191231,0.015209704,-0.2203736,-1927.39626,-9.429388406
32,Dasyuridae_Planigale_tenuirostris,0.2,70,12.75,-1.609437912,4.248495242,2.545531272,-0.075172367,-0.606210827,3849.570972,5.148535047
33,Potoroidae_Potorous_tridactylus_north,9.53,348.5,1190,2.254444718,5.85363823,7.081708586,-0.036815399,0.449200521,-1970.430076,1.010071157
34,Pseudochiridae_Pseudocheirus_peregrinus_north,4.52,325,800,1.508511994,5.783825182,6.684611728,-0.238286977,-0.174582375,-1769.997761,-2.863451639
35,Pseudochiridae_Pseudocheirus_occidentalis,5.58,370,1200,1.719188776,5.913503006,7.090076836,-0.196196071,-0.19079905,-2500.612832,-3.979684584
36,Pseudochiridae_Pseodochirops_corinnae,5.31,333,1123,1.669591835,5.80814249,7.023758955,0.032719977,-0.056049808,-1647.995996,-2.460337496
37,Pseudochiridae_Pseudochirulus_forbesi,3.62,265,640,1.286474026,5.579729826,6.461468176,0.110471323,-0.039520725,-422.5110004,-0.861807713
38,Dasyuridae_Sarcophilus_harrisii,16.09,652,11000,2.778197961,6.480044562,9.305650552,0.431854192,-0.123050895,214.1993927,-7.107411037
39,Dasyuridae_Sminthopsis_macroura,0.8,99.5,40.5,-0.223143551,4.600157644,3.701301974,0.095194344,0.164790215,3136.139981,4.32189345
40,Phalangeridae_Spilocuscus_maculatus,13.4,464,3200,2.595254707,6.139884552,8.070906089,0.150282514,0.289173774,-2862.34209,-0.705593401
41,Phalangeridae_Strigocuscus_pelengensis,7.37,325,800,1.997417706,5.783825182,6.684611728,-0.238286977,0.314323338,-1769.997761,-0.013451639
42,Tarsipedidae_Tarsipes_rostratus,0.36,75,9,-1.021651248,4.317488114,2.197224577,-0.6168061,-0.139138952,3720.197075,5.066731387
43,Thylacinidae_Thylacinus_cynocephalus,51.19,1150,25000,3.9355442,7.047517221,10.1266311,-0.337297782,0.041405192,1702.059278,3.908944376
44,Phalangeridae_Trichosurus_vulpecula,11,450,2900,2.397895273,6.109247583,7.972466016,0.137691232,0.145418941,-2810.595179,-2.428543152
45,Vombatidae_Vombatus_ursinus,59,995,30500,4.077537444,6.902742737,10.32548196,0.267230095,0.436706075,11096.40008,19.21485785
46,Macropodidae_Wallabia_bicolor,32.9,785,16400,3.493472658,6.665683718,9.705036614,0.311055087,0.267416454,2272.60374,3.270611594